qa_id,question,answer,context,is_question_valid,is_answer_correct
183541091810326183762188676481923836404,How many points did Hardaway score in his first career game?,19,"Upstate. Although Hardaway led the team in scoring in his first career game and the season opener with 19 points, he was soon in a shooting slump that saw him shoot 4-for-30 on his field goals in late November games against Syracuse and UTEP. These games m",1,1
173272932600420634172939412997937836024,What team was named the Rookie of the Year?,Ginebra,"uino's impact on Ginebra gave the team a 30-game improvement from a year ago and was named as the Rookie of the Year. Gordon's Gin Boars (1997-1998)[] In 1997, Ginebra was renamed, this time as the Gordon's Gin Boars. Gordon's was now a contender for the l",1,1
121872718742632183078739009214144805526,Which team lost to the Brooklyn Nets in the first round?,,"third in the Eastern Conference and first in the Atlantic Division for the second time in franchise history. They made the playoffs for the first time since 2008, but lost in the first round to the Brooklyn Nets after Lowry's potential game-winning shot wa",1,1
162740547145172299657931244263987952557,How many points per game did he score?,14.9-14.6,"a 268-263 (14.9-14.6 points per game) margin. He also led the team in steals with (1.17/game), free throw percentage (71.2%, min. 2.0 made/game), three-point shooting percentage (44.2%, min. 1.0 made/game), and three-point shots made per game (2.56) over t",1,1
233724555726495833727890446006521484395,"Unless what is involved, zone defenses typically do what?",trapping,"o-man defense to be effective. Many zones pack defenders in the lane but allow the offensive team to take long-range shots. If the opponents are poor long-range shooters, a zone can be very effective. Unless trapping is involved, zone defenses typically do",1,2
247446156647040279100103182319614737492,How many rebounds did he have?,5.5,"l as 4.8 assists, and 5.5 rebounds, in the playoffs, with many questioning his health during the series. 2015-16 season: All-NBA Third Team[] Following his disappointing performance in the playoffs, Lowry entered the 2015-16 season with a noticeably slimme",1,1
243946418437593934117922993092841295074,Who was blindsided at his first tribal council?,Clifford," and 4 of his 5 Appari tribemates Trish, Tony, Woo, and Lindsay all swapped to the Solana tribe with a 5-2 advantage against Original Solana members Jefra and LJ. However, when Solana lost immunity, Clifford was blindsided at his first tribal council when ",1,1
188723421552772230120384032842746203424,When was this practice abandoned?,,e third place team in a conference. This practice was abandoned beginning the 2010-11 season. List of champions[],1,2
122860356214053751684098285525939869598,When did the league start using the 25 second shot clock?,1975,ule changes for implementation starting this season: The Shot clock was reduced to 24 seconds from the previous 25 second limit. The 25 second shot clock was implemented since the league started in 1975 due to a limitation of the shot clock used at the Ara,1,1
309355509792220133442658672347902474899,When did the Indiana Pacers win the Golden State Warriors?,,nta Hawks. He is a 6 ft 11 in / 265 lb. Center. Contents 1 High school and college career 2 Professional career 2.1 Indiana Pacers (1996-1997) 2.2 Golden State Warriors (1997-2004) 2.3 Dallas Mavericks (2004-2010) 2.4 Miami Heat (2010-2011) 2.5 Atlanta Haw,2,2
127071020280009774521871144390663451179,When did Toronto Raptors play?,2001-2002,"However, they lost in the first round again, this time to the Los Angeles Lakers. After the season, amidst beef between him and Barkley, a disgruntled Pippen was traded to the Portland Trail Blazers. Toronto Raptors (2001-2002)[] Hakeem Olajuwon played the",1,1
294172069740921347931935970082575018175,What conference title did Ginebra win?,,"er, in order to strengthen Ginebra's quest to regain the Fiesta Conference title. But his addition was not enough to help the Kings reach the Finals. They faced Red Bull again in the semifinals, and eventually lost in the series, 4-3. The Kings came back a",1,2
11818394866698776450096136004414886953,Where were the men's and women's tournaments played?,the same neutral site,"e men's and women's tournaments were played at the same neutral site, for all rounds. Tournament Champions[] Performance By School[] 1no longer a conference member",1,1
146061649590078634948665931291774077132,What gallery features Matee Ajavon?,Gallery[],The following is a gallery featuring Matee Ajavon. Gallery[],1,1
207995668640175298145100510929919621611,What is the mes to 1.[3],,mes to 1.[3],1,1
96117403532081214552590384609598934651,What is the conference championship tournament in women's basketball?,The SEC Women's Basketball Tournament,The SEC Women's Basketball Tournament (sometimes known simply as the SEC Tournament) is the conference championship tournament in women's basketball for the Southeastern Conference (SEC). It is a single-elimination tournament and seeding is based on regula,1,1
66502143147704328104239059453497189426,What would have allowed the Express to regain its 2007 and 2008 pip?,The third part was voided by former commissioner Noli Eala,"imaunahan, Manny Ramos, and Ervin Sotto plus Ginebra's two second round draft picks that year and a future first-round pick. The third part was voided by former commissioner Noli Eala, which would have allowed the Express to regain its own 2007 and 2008 pi",1,1
179361684050256774905755933893296660247,When was he named to the All-NBA Team?,2017," 2018, won the Slam Dunk Contest in 2014, and was named to the All-NBA Team in 2017. However, he experienced multiple injuries in 2019 and missed more than two years of basketball before being traded to the Houston Rockets in December 2020. After two seaso",1,1
308329410601262139126500581259033956017,What year did the tournament begin?,1980,"1-8, 2-7, 3-6, and 4-5. The tournament has been held since 1980. Champions[] Championship by School[]",1,1
31328928812185503951437477346829862774,What year did WHAC launch an external link to its home page?,2003,-2003) External link[] WHAC home page,1,1
200497999545308723655957504909318998300,When did Wall act up?,,"ster, Tonya. The death of his father caused Wall to frequently reject the authority of adults and act up, occasionally fighting, mostly in middle school. He was cited for breaking and entering as a teenager. Wall played for two AAU basketball teams, first ",1,2
25287001633661608298754965233278789926,What is the name of the company that is based in the United States?,,).,1,2
23506268063906495015439638905794181796,Who was traded by Purefoods?,,rd Chris Pacana and Chia to Talk 'N Text for veteran Vic Pablo. They also boosted their backcourt by drafting Macky Escalona from Ateneo and acquiring Paul Artadi from Air21 after being traded by Purefoods. They also added depth by getting Willy Wilson. St,1,2
72645237499295645161378784492974782002,Where was the arena located?,,"l the facility closed on July 31, 1996.[9] A shopping center, consisting of Sports Authority, King Kullen, and Target, now stands on the former site of the arena, which was located on the south side of Veterans Highway just west of the Sunken Meadow State ",1,2
155856330253668168312346027967335808922,Who was the first overall selection for the Washington Wizards?,,"pected to be the first overall selection for the Washington Wizards. On May 3, Wall signed with agent Dan Fegan. On June 23, 2010, Reebok revealed Wall as its latest signing, casting him as the face of its latest basketball shoe, the ZigTech Slash. On June",1,1
314547198033390630844629804445456761078,On what date did Jones sign a two-year contract?,"July 6, 2022"," finger during a workout and would miss an additional 6-to-8 weeks. On the same day, however, he was upgraded to a timetable of 1-to-2 weeks in order to determine if he could play with a splint. On July 6, 2022, Jones re-signed with the Bulls on a two-year",1,1
156905066708438266071972464914313051427,What team did they defeat in teh Philippine Cup?,Sta. Lucia," and injured frontcourt, Ginebra decided to fill their void at the forward position by signing the 6'6"" former DLSU Archer Junjun Cabatu to a two-year contract. They defeated defending Philippine Cup champion Sta. Lucia and the team that they defeated in t",1,1
40765717766776416637150457140399481285,How many NBA career statistics do the NBA has?,,) 4 Personal life 5 NBA career statistics 5.1 Regular season 5.2 Playoffs 6 Charity 7,1,2
195554561539603522319906964041053190752,How many assists did Wall get?,7.6,"to go along with 7 rebounds and 8 assists. Wall ended the season with averages of 18.5 points, 7.6 assists, and 4.0 rebounds a game. First All-Star and playoff appearance (2013-14)[] Wall attempting a free throw. On July 31, 2013, Wall, labeled by the Wiza",1,1
116122928997208808295401961768725009810,Who is the owner of the Hancock family?,,e Hamilton Ralph Hamilton Richard Hamilton Roy Hamilton Steve Hamilton Tang Hamilton Thomas Hamilton Zendon Hamilton Geert Hammink Julian Hammond Tom Hammonds Joe Hamood Darrin Hancock Ben Handlogten Cecil Hankins Phil Hankinson Alex Hannum Don Hanrahan Ro,1,2
163577948058563472759675464993787337651,Who signed Chris Pacana?,,"ased guard Macky Escalona, and forward J. R. Aquino to free-agency and waived center Homer Se. They also released guard Chris Pacana, who was later signed by the Sta. Lucia Realtors and placed forward Junjun Cabatu to the practice player list. On other rep",1,2
86749929312422328493162192805255277942,Who was a basketball hall of famer?,Buddy Jeannette,"note[] Basketball Hall of Famers[] Buddy Jeannette 1942-43 Bobby McDermott 1947-48 Dutch Dehnert (coach) 1944-46. Other key players[] Glenn R. ""Sparky"" Adams Bob Bolyard Bob Brannum Ken Buehler Jack Burmaster Paul Cloyd Bobby Cook Ed Dancker Merlin ""Boody""",1,1
233677499548587575371738654059768809313,When was the building demolished?,"June 3, 2007","erty, and the building was demolished via implosion on June 3, 2007. A mixed-use development is now planned for the space since the demolition is complete.[1] Contents 1 History 2 Tenants 3 Notes 4",1,1
230057319386101688544659294303936606200,How many wins did the Magic have for the season?,60,"onth for November by averaging 27.0 points, 6.5 assists, 5.8 rebounds, 2.2 steals, and 1 block per game. He was named a starter in the NBA All-Star Game for the second consecutive season while leading the Magic to a franchise record 60 wins. For the season",1,1
31544179942705613351293818863070590642,How many points did he average per game?,,"onth for November by averaging 27.0 points, 6.5 assists, 5.8 rebounds, 2.2 steals, and 1 block per game. He was named a starter in the NBA All-Star Game for the second consecutive season while leading the Magic to a franchise record 60 wins. For the season",1,1
15512846322881737645804762741300375958,When was Michael Scott born?,"July 16, 1988","This article related to Basketball is short. PLEASE do expand it! James Michael ""Mike"" Scott (born July 16, 1988) is an American professional basketball player for the Atlanta Hawks of the NBA.",1,1
272242150413479367757649345173090356189,Who did Cook sign with?,,"e Illinois Mr. Basketball to sign with Illinois, following the lead of Sergio McClain (1997) and Frank Williams (1998). Cook ultimately played 132 games in four years at the University of Illinois, most of them under coach Bill Self, and led the Illini in ",1,2
291087839440310897774719886841412613069,When did his mother and grandmother die?,,"ured Achilles tendon. While rehabbing from his injury, his mother and grandmother died a year apart from each other, all amid the COVID-19 pandemic. He spoke about his personal struggles with mental health in an article he wrote for the Players Tribune. In",1,2
318202208938111855224308598932063499087,What team entered the playoffs as the #7 seed?,Ginebra,"tle repeat[] At the Philippine Cup, Ginebra entered the playoffs as the #7 seed. They overcame a twice to beat disadvantage and defeated the Alaska Aces in the quarter finals to move on to the semis against sister team Star Hotshots. Despite being down 0-2",1,1
71006343781756266326612370507475712749,What was his career-high?,," best friend Vince Carter. Jamison spent the first five years of his NBA career with the Warriors. He scored a career-high 51 points on two occasions, back-to-back against Seattle and the Lakers (the Warriors won that game). He averaged a career-high 24.9 ",1,2
331183755362799507416926714457430550893,What team did Johnson play for?,Rockets," He made his debut for the Rockets later that day, scoring nine points in 31 minutes off the bench in a 100-91 win over the Sacramento Kings. BIG3 career[] In March 2019, Johnson signed to play in the BIG3. On August 27, 2019, Johnson was named BIG3 MVP. O",1,2
41330942602041475469209285954357831539,What is the other type of event?,,olition 2 Events 2.1 College basketball 2.2 Professional basketball 2.3 Other sports 2.4 Non-sporting events 3,1,2
33636249632600151590777425134487068122,Who won the 2004 PBA Fiesta Conference?,Eric Menk,"ce Eric Menk- 2004 PBA Fiesta Conference, 2004-05 Philippine Cup Marlou Aquino- 1996 Governor's Cup PBA Rookie of the Year[] Greg Slaughter- 2013-14 Mark Caguioa- 2001 Marlou Aquino- 1996 Dondon Ampalayo- 1986 Willie Generalao- 1980 PBA All-Defensive Team[",1,1
184612614219746869118593644092677844673,What is a tournament of the Philippine Basketball Association?,PBA Governors' Cup,"The PBA Governors' Cup is a tournament of the Philippine Basketball Association. Along with the PBA Commissioner's Cup, the tournament is one of the two conferences that allows teams to hire a single foreign player, also known as an ""import"". The tournamen",1,1
223062875646320899014921570116752389851,Who was the all defensive team in 2008-09?,Billy Mamaril," All-Defensive Team[] Japeth Aguilar - 2015-16 John Wilson- 2010-11 Willy Wilson- 2010-11 Ronald Tubid- 2008-09 Billy Mamaril- 2008-09 Marlou Aquino- 1997, 1996 Chito Loyzaga- 1992, 1991, 1990, 1989, 1987, 1986, 1985 Robert Jaworski Sr.- 1988, 1985 Terry S",1,1
163275395632582204762161840497732666731,What is it important to do during the holidays?,give back,"nate. I really enjoy being in a position to aid my community - both in the Bay Area and back home in Charlotte - and put a smile on somebody's face. That is what it is all about. I think it is especially important to give back during the holidays, when peo",1,1
288088683024654147787179071675212221490,When did David Noel win the Slam Dunk (Import)?,,nge- 2003 Jayjay Helterbrand - Shooting Star Challenge - 2007 Paul Artadi - Obstacle Challenge - 2009 David Noel - Slam Dunk (Import) - 2009 David Noel - Slam Dunk (Dunk-off) - 2009 Ronald Tubid -- Legends Shootout - 2011 KG Canaleta - Slam Dunk- 2012 Chri,1,2
223878903660692469302775227901030780583,How many championships did the Miami Heat win?,three,ly two players (along with Dwyane Wade) to be part all the franchise's three championships. Contents 1 Early life 2 College career 3 Professional career 3.1 Chalon-Sur-Saone (2002-2003) 3.2 Miami Heat (2003-2023) 3.2.1 2003-2008: All-Rookie honors and firs,1,1
228893397956500966817918952135379404914,Who is the only player to win the award?,Larry Krystkowiak,The Big Sky Conference Men's Basketball Player of the Year is an annual basketball award given to the Big Sky Conference's most outstanding player. The award was first given following the 1978-79 season. Only one player--Larry Krystkowiak of Montana--has w,1,1
257037398376586948051423354137233261573,What is quingcen to be?,lead-assistant,quingcen-to-be-lead-assistant | http://www.philstar.com/sports/2013/07/16/975871/chua-resigns-over-player-coach-shakeup | http://www.philstar.com/sports/2013/07/26/1014311/ginebra-names-agustin-interim-coach-chua-team-manager | http://www.slamonlineph.com/,1,1
102471500969972607216433774939307779737,What team did Richmond play for?,,"eles Lakers (2001-2002) 3 National team career 4 Personal life 5 Hall of Fame 6 NBA career statistics 6.1 Regular season 6.2 Playoffs College career[] Richmond began his college career playing for the Moberly Area Community College Greyhounds. He scored 1,",1,1
141442390196498776198584990224715593576,What is the name of the women's basketball league?,,"sional women's basketball league. Stern has been credited for developing and broadening the NBA's audience, by setting up training camps, playing exhibition games around the world, and recruiting more international players. The NBA now has 11 offices in ci",1,2
14185860162190726149280042037617562047,What team did the Hawks lose to in the Conference Semi-finals?,Orlando Magic,"nt on to play sparingly in the team's playoff run, a run that saw the Hawks lose to the Orlando Magic in the Conference Semi-finals. In 2010-11, the second-year guard averaged 5.2 points, 2.0 assists, and 1.5 rebounds in 13.8 minutes (.438 FG%, .375 3FG%, ",1,1
337815533075016951819871309492372078727,When did MacMurray shut down?,,ned in 1990 Former members[] Iowa Wesleyan (2013-2021) - school closed in 2023 Lincoln Christian (2006-2008) -- now an NAIA independent MacMurray (1990-2020) -- school closed in 2020 Maryville (MO) (1989-2009) -- now in the NCAA Division II Great Lakes Val,1,2
167323885378997195981076857673265815157,How many EuroLeague games did Antetokounmpo play?,14,"the Bulls on December 16, 2022, without appearing in a game for the team at the NBA level. Fenerbahce (2022-2023)[] On December 19, 2022, Antetokounmpo signed with Fenerbahce Beko of the Turkish Basketball Super League (BSL). In 14 EuroLeague games, he ave",1,1
237548957814486845417453274957051422419,Who is the university named for?,Francis T. Nicholls,"institution split from the Louisiana State University System in 1956. The university is named for Francis T. Nicholls, a former governor of Louisiana and member of the Louisiana Supreme Court. Nicholls State sports teams, known as the Nicholls Colonels for",1,1
25429918822431180053544204349438194087,What did the PC release feature?,updated rosters,"er function or a Free Agent pool to draw from. The PC release featured updated rosters accurate as of the 1994-95 season's trade deadline, and included the entire rookie class of 1994. This article related to Basketball is short. PLEASE do expand it!",1,1
49653778131245715915373805473626749980,What was Nate Archibald's height?,5'11,ood Kansas City team that had bounced back from the bad Bob Cousy days under coach Phil Johnson. Nate Archibald was their star at just 5'11. But the Bulls guards hounded Nate the Skate to just 36% shooting in the series. Bob Love also schooled rookie forwa,1,1
284598392682243441150209221388129447054,Where was he born?,"Zivinice, Bosnia and Herzegovina",") Early career[] Born in Zivinice, Bosnia and Herzegovina, Nurkic began playing basketball when he was 14 years old, after Bosnian sports agent Enes Trnovcevic took him to Slovenia and gave him an opportunity to play. Nurkic played in the youth categories ",1,1
189819404540458496872953660867373593910,When did Parker file for divorce?,19 November 2010,"h another woman; Extra identified the other woman as Erin Barry, the wife of Brent Barry, Parker's former teammate, and revealed that the Barrys were also in the midst of a divorce. On 19 November 2010, Parker filed for divorce from Longoria in Bexar Count",1,1
49116681327437266959348776891624763147,What injury kept him out for eight games?,,"arly January. The left foot injury kept him out for a further eight games between late January and early February. On March 21, he was ruled out for the rest of the season after reaggravating a left foot injury, originally suffered in December. On April 11",1,1
232814084325097556822880354052548770135,What is Teague's father's name?,Shawn Teague,"nounced Teague would be the new head coach of Pike High School, the same school that he graduated from. NBA career statistics[] Regular season[] Playoffs[] Personal life[] Teague is the son of Shawn and Carol Teague. His father, Shawn Teague, played [[[col",1,1
296187829733566401341506703517736440036,What does rs.,,rs.,1,1
21824528890964705498346457232717151989,When did he join the San Antonio Spurs?,"October 22, 2012","oined the San Antonio Spurs for the 2012 NBA Summer League. On October 22, 2012, he signed with the Spurs, but was later waived by the team on October 26. On November 1, he was acquired by the Austin Toros of the NBA Development League as an affiliate play",1,1
224551327035653918867985806568264017018,What team did Nurkic play for?,,"s in a 122-113 victory over his former team, the Denver Nuggets. Three days later, Nurkic was ruled out for the rest of the regular season with a non-displaced fracture in his right leg. On 22 April 2017, Nurkic returned to action in Game 3 of the Trail Bl",1,2
96140864076932761307115865503608222338,What injury ruled him out for the rest of the regular season?,,"s in a 122-113 victory over his former team, the Denver Nuggets. Three days later, Nurkic was ruled out for the rest of the regular season with a non-displaced fracture in his right leg. On 22 April 2017, Nurkic returned to action in Game 3 of the Trail Bl",1,2
199447666662810772938052819633503349459,In what year did George II receive a royal charter from the Church of England?,,"y other American institution. The institution was established as King's College by the Church of England, receiving a royal charter in 1754 from George II of Great Britain. It was the first college established in New York, and the fifth college established",1,2
69959795105561938628512776395486470250,When was the college established?,," college established in the Thirteen Colonies. After the American Revolution it was briefly chartered as a state entity from 1784-1787, however the university now operates under a 1787 charter that places the institution under a private board of trustees. ",1,2
307038141256646649750830428048079083822,What does erroneousness stand for?,,ersity.,1,2
259475075216870324530261340956841610553,What is phia?,,phia.,1,1
99612028120473789330260926494966386543,When did UAlbany enter a 10-year naming rights deal?,"November 1, 2006","he current name of SEFCU Arena was adopted on November 1, 2006, when UAlbany entered a 10-year naming rights deal with SEFCU, a federal credit union. [1] SEFCU Arena is located behind the Physical Education building, which separates it from University Fiel",1,1
109994466162098530134643957426867883661,What is the name of the team that has the logo?,,"Boring Buckers The logo used by the Boring Buckers since December 2022. Name Boring Buckers Nickname Buckers Founded December 29, 2022 Arena Buckers Arena Location Boring, Oregon, U.S. Colors Dark green, cream President Ege Samil Affiliation NBA Website Bo",1,2
65112430110938289317068692354393091449,Who was named the Finals MVP?,Leonard," Leonard was named the Finals MVP after leading the team in scoring in each of the final three games, averaging 23.7 points and shooting 68.5 percent, after scoring just nine in each of the first two games Overall, he averaged 17.8 points on 61.2 percent s",1,1
212249484397146012244197800378639752332,What team had a 24 point lead at the start of the fourth quarter?,Celtics,"mfortable 20 point lead to end the third. The exclamation point on the blowout was Powe with back-to-back poster slams over the Lakers' defense. The Celtics' dominance transferred into the beginning of the fourth, as they jumped to a 24 point lead with lit",1,1
32195371509798295633501647649964700144,What is the official athletics site of Delaware Valley College?,,Delaware Valley College External Links[] Official athletics site,1,1
268271907208364748678050472343269650707,When did Southeastern Louisiana join?,1997,"joined 1987) Southeastern Louisiana (joined 1997) Stephen F. Austin (member from 1987-2021, rejoined in 2024) Texas A&M-Commerce (joined in 2022) Texas A&M-Corpus Christi (joined 2007) UTRGV (joined in 2024) Former members[] Abilene Christian (joined 1963,",1,1
43732010453399091860206827306732820512,Where did Nwosu retire his Flames jersey?,Vines Center,"ad the Flames into their first year as a member of the Big South Conference and to their first 20-win season (23-7, 1992) in nine years and first at the NCAA Division I level. In front of the home fans at the Vines Center, Nwosu had his jersey retired. He ",1,1
114097355327037663161828381906541418996,Who had the highest field goal percentage for a single season?,Mitchell Robinson,"The highest field goal percentage for a single season was set by New York Knicks center Mitchell Robinson with 74.2% in the abbreviated 2019-20 season. One of the greatest field-goal shooters of all time is Michael Jordan, who led the NBA in field goals ma",1,1
11621546910693450009568242131435175671,What team did he play for in college?,Colorado Buffaloes,"sons in the NBA. After playing college basketball with the Colorado Buffaloes, he was selected third overall in the 1997 NBA Draft by the Boston Celtics. A five-time NBA All-Star and a three-time All-NBA selection, Billups played for the Celtics, Toronto R",1,1
20199159656813764449144671513610527783,When was the SBC Center opened?,2002,"rena seats 18,418 for basketball, and 19,000 for concerts or gatherings, and contains 2,018 club seats, 50 luxury suites and 32 bathrooms. It was opened in 2002 as the SBC Center, at a cost of US$175 million, financed by county-issued bonds, which were sup",1,1
25999040193673793426647507633977279789,Who was the Eastern Conference champion?,,"The 1989 NBA Finals was the championship round of the 1988-89 National Basketball Association (NBA) season, and the conclusion of the the season's playoffs. The series was a rematch of the previous year's Finals between the Eastern Conference champion Detr",1,2
82426133834796139415350135613216527201,What was the name of the first three playoff series?,,"ng the season, the Lakers had won their division, with Magic Johnson collecting his second MVP Award. The team swept the first three playoff series (Pacific Division foes: the Portland Trail Blazers, Seattle SuperSonics, and Phoenix Suns), resulting in a r",1,2
322953487064860020662089840134438034260,What is the team named after?,,"games at Bankers Life Fieldhouse. The team is named after Indiana's history with the Indianapolis 500's pace cars and with the harness racing industry. The Pacers have won three championships, all in the ABA in 1970, 1972, and 1973. The Pacers were NBA Eas",1,2
144056278458295676597907400624050866821,What is Lisa Adams' half-sister's name?,,"m (6 ft 0 in). Two of his half-sisters are athletes: Dame Valerie Adams is a dual Olympic gold medallist and four-time world champion shot-putter and Lisa Adams is a para athlete who has won gold at the Paralympics in shot-put. His brothers, Warren and Sid",1,2
13278178034917160055366074631454117681,What was the first NBA Finals appearance?,, 1.3.9 1997-98 1.3.10 1998-99 1.3.11 1999-00: First NBA Finals appearance 1.3.12 2000-01 1.3.13 2001-02 1.3.14 2002-03 1.3.15 2003-04 1.3.16 2004-05: Reggie Miller's final season 1.3.16.1 The Brawl at the Palace of Auburn Hills 1.4 2005-2010: The Danny Gra,1,2
216866264131386296914970134829632746087,"I decided not to go to school a couple of times, go when I felt like it?",,"t have that parental guidance, and I kind of took advantage of it because I was a stupid idiot. I decided not to go to school a couple of times, go when I felt like it. I always lied to my brothers and sisters. They'd ask: 'Are you going to school?' I'd sa",1,2
271111990562101282049536373998354804490,Who played for the Boston Celtics?,John Havlicek,"s Ron Behagen, Kansas City-Omaha Kings NBA All-Defensive Team: First Team: Dave DeBusschere, New York Knicks John Havlicek, Boston Celtics Kareem Abdul-Jabbar, Milwaukee Bucks Norm Van Lier, Chicago Bulls Walt Frazier, New York Knicks (tie) Jerry Sloan, Ch",1,1
12591149572552091564429611892020903615,How many consecutive Border Conference championships did Texas Tech win?,three,"also known as the Border Conference. In the team's first season of conference play, Texas Tech went undefeated, winning the first of three consecutive Border Conference championships. At the beginning of the 1937-38 season, Texas Tech's short-lived Matador",1,1
230310955357310841441942476221340367225,What is the official athletics site?,,re known as the Waves. External Links[] Official athletics site This article related to Basketball is short. PLEASE do expand it!,1,2
232084096423526627082975597531350856037,When did the New York Knicks play?,2020-20,3.2 Cleveland Cavaliers (2018-2019) 3.3 Sacramento Kings (2019) 3.4 Golden State Warriors (2019-2020) 3.5 Philadelphia 76ers (2020) 3.6 New York Knicks (2020-2022) 3.7 Detroit Pistons (2022-2024) 3.8 Return to the Knicks (2024) 4 Career statistics 4.1 NBA ,1,1
160198476682406542842793163672634855608,When was Sports Illustrated published?,"November 30, 1970","The following is a collection of magazine covers featuring Sidney Wicks. Magazine covers[] Sports Illustrated - November 30, 1970",1,1
79117150035303208608753368444814425590,What will be maintained concurrently with the equivalent category?,,This is an alphabetical list of NCAA Division III conferences. This page will be maintained concurrently with the equivalent category. Allegheny Mountain Collegiate Conference American Rivers Conference American Southwest Conference Atlantic East Conferenc,1,2
136194425831198617395416879066938214416,What is the name of the athletic conference?,,te Athletic Conference,1,2
80753547998285238854276287517550397504,In what year did the Lions go 19-1 in Flowers Hall?,1984,"record at home and the 1984 Lions went 19-1 in Flowers Hall en route to a third place national finish. Flowers Hall has also been the scene for nine men's NCAA Division II playoff games, including regional tournaments in the 1976-77, 1980-81 and 1983-84 ca",1,1
67418868000000489989291818438818613103,What does Hatnote/styles.css have no content for?,, Page Module:Hatnote/styles.css has no content.Main article: 1983 NBA Draft Note: This is not an extensive list; it only covers the first round and notable post-first round picks.,1,2
99947019656009729459782194719390095342,What was the name of the arena?,th Street,"th Street) from which the arena derived its name. Subsequently a new 17,000-seat Garden (opened December 15, 1925) was built at 50th Street and 8th Avenue, and the current Garden (opened February 14, 1968) is at 7th Avenue between 31st and 33rd Streets, si",1,2
101527996937949455767143506961702386896,What was all lower-area seating replaced with?,purple chairback seats,"en bleachers were replaced with plastic purple seating on the North, South and East upstairs areas. All lower-area seating was replaced with purple chairback seats. New video scoring tables were added, along with a pair of 18'x10' video boards as the arena",1,1
232521217138563445175428758668775371464,When was Brand's contract announced?,"February 5, 2009","6ers (2008-2012)[] Brand boxing out vs the Golden State Warriors. On July 9, 2008, Brand signed a five-year deal with the Philadelphia 76ers, a team in which Brand had previously stated to have an interest. It was announced on February 5, 2009 that Brand w",1,1
303235355155054429303934381098638199042,What was the Kia Forum?,a multi-purpose indoor arena,"Kia Forum (formerly the Forum) is a multi-purpose indoor arena in Inglewood, California, United States, adjacent to Los Angeles. Located between West Manchester Boulevard, across Pincay Drive and Kareem Court, it is north of SoFi Stadium and the Hollywood ",1,1
208641950939905313903626823261168614973,Who played for the Indiana Pacers?,,"Zeljko Rebraca, Detroit Pistons Jamaal Tinsley, Indiana Pacers Richard Jefferson, New Jersey Nets",1,2
47467859750731007412695066584077280524,What type of content does Hatnote/styles.css have?,,"ft[] Page Module:Hatnote/styles.css has no content.Main article: 1964 NBA Draft Note: This is not an extensive list; it only covers the first and second rounds, and any other players picked by the franchise that played at least one game in the league. Rost",1,2
315098548390030126648769299733707495709,Who is the head coach?,, era 3 Season-by-season records 4 Players 4.1 Current Roster 4.2 Retired numbers 5 Franchise and NBA records 5.1 Career statistical leaders 5.2 Per game statistical leaders 5.3 Individual awards 6 Television and radio 7 Staff 7.1 Head coaches 7.2 General m,1,2
85313779697957546149058914468288119503,How many imports does the ANBL have per side?,,ned the competition in 2010 as well as the Otago Nuggets rejoining the league after a year absence. The league has a limit of two imports per side. Many of the imports used come from the ANBL such as New Zealand Breakers Power forward Tony Ronaldson and Wo,1,1
286638558322467984525324521388190433045,What was the reason for the lack of demand?,," shown once a week but due to lack of demand only playoff games were shown mainly due Super Rugby, NRL and ANZ Championship games clashing with game times and a high interest by the public in those competitions. Southland Sharks highlights and interviews h",1,2
6745692528519018979190100047132997830,What sports network did Albert work for?,Turner Sports," he was also known as ""the voice of the New York Knicks"". Albert worked for Turner Sports as the lead announcer for NBA games on TNT until his retirement at the end of the 2020-21 season. In addition to working extensively in both professional and college ",1,1
81677674071429299543484322674128699348,What team is a member of the NBA?,,"rnets, Los Angeles Clippers, Chicago Bulls, Toronto Raptors, Indiana Pacers, Washington Wizards and San Antonio Spurs.",1,2
327147729614649913586498878193267636129,Where was the game played?,HemisFair Arena,"GAME 8: at HemisFair Arena, San Antonio, Texas, January 28, 1975 MVP: Freddie Lewis, Spirits of St. Louis Coaches: East: Kevin Loughery, New York Nets West: Larry Brown, Denver Nuggets Contents 1 Western Conference 2 Eastern Conference 3 Score by Periods 4",1,1
301325689144182859547734189776829152675,What year was the 76ers rookie of the year?,,njury 4.1.2 2017-18 season: Rookie of the Year 4.1.3 2018-19 season: First All-Star selection 4.1.4 2019-20 season: First All-NBA and All-Defensive selections 4.1.5 2020-21 season: Playoff disappointment 4.1.6 2021-22 season: 76ers holdout 4.2 Brooklyn Net,1,2
192328034847407506703821189114426263184,What team did Simmons play for?,Melbourne Tigers,rning professional with the Melbourne Tigers in Australia's National Basketball League in 1989. Simmons was raised in Newcastle from the age of 18 months while his father played and coached in the city. Simmons began playing basketball at the age of seven ,1,1
135581467082033294746682033904569781775,How many children does West have in his family?,,"them."" Personal life[] West is the son of Amos and Harriet West. He and his wife Lesley have one daughter, Dasia, and one son, David Benjamin. West is very interested in education, ""black history, philosophy and various societal issues"". He also loves to m",1,1
330326693703933524992316738972466601139,Where is the Madison Square Garden in New York City?,,end on March 31 at Madison Square Garden in New York City. Contents 1 Participants 1.1 Automatic qualifiers 1.2 Seeds 2 Bracket 2.1 Alabama bracket 2.2 Colorado bracket 2.3 Boston College bracket 2.4 Virginia Tech bracket 2.5 NIT Final Four - NIT Semifinal,1,2
